InputID,TargetID,Distance
18425,18145,22288.9518004538
18425,18264,11144.557382489
18425,18265,12314.9029121154
18425,18426,5231.23490151541
18426,18427,5231.23490151607
18426,18425,5231.23490151541
18426,18264,12314.9029121154
18426,18265,11144.557382489
18427,18428,5231.23490151541
18427,18267,12314.9029121154
18427,18266,11144.557382489
18427,18426,5231.23490151607
18428,18427,5231.23490151541
18428,18429,5231.23490151607
18428,18267,11144.557382489
18428,18266,12314.9029121154
18429,18269,12314.9029121154
18429,18430,5231.23490151541
18429,18428,5231.23490151607
18429,18268,11144.557382489
18430,18269,11144.557382489
18430,18270,12314.9029121157
18430,18431,5231.23490151607
18430,18429,5231.23490151541
18430,18268,12314.9029121154
18431,18269,12314.9029121157
18431,18270,11144.557382489
18431,18430,5231.23490151607
18431,18432,5231.23490151541
18432,18431,5231.23490151541
18432,18433,5231.23490151607
18432,18271,11144.557382489
18432,18272,12314.9029121157
18433,18434,5231.23490151541
18433,18432,5231.23490151607
18433,18271,12314.9029121157
18433,18272,11144.557382489
18434,18273,11144.557382489
18434,18433,5231.23490151541
18434,18154,22288.9518004538
18434,18272,12314.9029121154
18264,18425,11144.557382489
18264,18146,12322.0692360574
18264,18145,11144.3944179647
18264,18265,5248.40904332789
18264,18426,12314.9029121152
18265,18146,11144.3944179647
18265,18264,5248.40904332789
18265,18266,5248.40904332856
18265,18426,11144.557382489
18266,18427,11144.557382489
18266,18147,11144.3944179647
18266,18267,5248.40904332789
18266,18265,5248.40904332856
18267,18428,11144.557382489
18267,18148,11144.3944179647
18267,18268,5248.40904332856
18267,18266,5248.40904332789
18268,18269,5248.40904332789
18268,18429,11144.557382489
18268,18149,11144.3944179647
18268,18267,5248.40904332856
18269,18270,5248.40904332856
18269,18430,11144.557382489
18269,18150,11144.3944179647
18269,18268,5248.40904332789
18270,18269,5248.40904332856
18270,18431,11144.557382489
18270,18151,11144.3944179647
18270,18271,5248.40904332789
18271,18270,5248.40904332789
18271,18432,11144.557382489
18271,18152,11144.3944179647
18271,18272,5248.40904332856
